date,experiment,target,library,antibody,concentration,sort_bin,selection,sample,experiment_type,number_cells,frac_escape,R1
240305,exptREF,Omicron_BA286,lib92,none,0,ref,reference,exptREF-none-0-ref,ab_selection,,,/uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2024/240330_Illumina_mAb-escape-V29-Omicronv3/240305-lib93-presort-1_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2024/240330_Illumina_mAb-escape-V29-Omicronv3/240305-lib93-presort-2_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2024/240330_Illumina_mAb-escape-V29-Omicronv3/240305-lib93-presort-3_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2024/240330_Illumina_mAb-escape-V29-Omicronv3/240305-lib93-presort-4_R1_001.fastq.gz
240305,exptREF,Omicron_BA286,lib93,none,0,ref,reference,exptREF-none-0-ref,ab_selection,,,/uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2024/240330_Illumina_mAb-escape-V29-Omicronv3/230622-e7-r1_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2024/240330_Illumina_mAb-escape-V29-Omicronv3/230622-e7-r2_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2024/240330_Illumina_mAb-escape-V29-Omicronv3/230622-e8-r1_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2024/240330_Illumina_mAb-escape-V29-Omicronv3/230622-e8-r2_R1_001.fastq.gz
240305,expt7,Omicron_BA286,lib92,S2V29_v37_2,48,abneg,escape,expt7-S2V29_v37_2-48-abneg,ab_selection,372000,0.093,/uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2024/240330_Illumina_mAb-escape-V29-Omicronv3/240305-lib92-presort-1_R1_001.fastq.gz
240305,expt7,Omicron_BA286,lib93,S2V29_v37_2,48,abneg,escape,expt7-S2V29_v37_2-48-abneg,ab_selection,324000,0.081,/uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2024/240330_Illumina_mAb-escape-V29-Omicronv3/240305-lib92-presort-2_R1_001.fastq.gz
240305,expt8,Omicron_BA286,lib92,S2V29,36,abneg,escape,expt8-S2V29-36-abneg,ab_selection,404000,0.101,/uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2024/240330_Illumina_mAb-escape-V29-Omicronv3/240305-lib92-presort-3_R1_001.fastq.gz
240305,expt8,Omicron_BA286,lib93,S2V29,36,abneg,escape,expt8-S2V29-36-abneg,ab_selection,344000,0.086,/uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2024/240330_Illumina_mAb-escape-V29-Omicronv3/240305-lib92-presort-4_R1_001.fastq.gz
